Filename,Title,Track Listing,Song Length,Release Date,Album ,Horror Reference,Lyric Source
american_nightmare.txt,The American Nightmare,1,4:11,20-06-2018,The Silver Scream,A Nightmare on Elm Street,LyricFind
thank_god_its_friday.txt,Thank God It's Friday,2,4:24,13-07-2018,The Silver Scream,Friday the 13th,LyricFind
enjoy_your_slay.txt,Enjoy Your Slay (featuring Sam Kubrick of Shields (UK)),8,4:16,26-05-2017,The Silver Scream,The Shining,musixmatch
grave_mistake.txt,A Grave Mistake,6,3:04,14-09-2018,The Silver Scream,The Crow,musixmatch
stabbing_in_the_dark.txt,Stabbing in the Dark,3,4:36,19-10-2018,The Silver Scream,Halloween,musixmatch
merry_axemas.txt,Merry Axe-mas,11,3:18,21-12-2018,The Silver Scream,"Silent Night, Deadly Night",LyricFind
savages.txt,Savages,4,2:57,28-07-2019,The Silver Scream,The Texas Chain Saw Massacre,LyricFind
it_is_the_end.txt,"IT Is The End (featuring Peter ""JR"" Wasilewski and Buddy Schaub of Less Than Jake and Will Salazar of Fenix TX) ",13,4:48,24-09-2019,The Silver Scream,It,LyricFind
hip_to_be_scared.txt,Hip to Be Scared (featuring Jacoby Shaddix),8,3:23,09-07-2021,The Silver Scream 2: Welcome to Horrorwood,American Psycho,LyricFind
assault_n_batteries.txt,Assault & Batteries,4,3:28,09-08-2021,The Silver Scream 2: Welcome to Horrorwood,Child's Play,musixmatch
rainy_day.txt,Rainy Day,7,3:01,09-09-2021,The Silver Scream 2: Welcome to Horrorwood,Resident Evil,LyricFind
funeral_derangements.txt,Funeral Derangements,6,3:44,09-10-2021,The Silver Scream 2: Welcome to Horrorwood,Pet Sematary,LyricFind
take_your_pick.txt,Take Your Pick (featuring Corpsegrinder),9,3:17,14-02-2022,The Silver Scream 2: Welcome to Horrorwood,My Bloody Valentine,LyricFind
shower_scene.txt,The Shower Scene,5,3:11,29-07-2022,The Silver Scream 2: Welcome to Horrorwood,Psycho,LyricFind
welcome_to_horrorwood.txt,Welcome to Horrorwood,2,3:55,13-01-2023,The Silver Scream 2: Welcome to Horrorwood,-,LyricFind
